                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8074,                 1.6219,                  1.175,                0.93996,                0.81579,                0.92059,                0.46026,                 1.7164,                 1.8928,                 1.1844,             0.00066077,             0.00066077,             0.00066077
                      2,                 1.5577,                0.96953,                 1.0742,                0.89457,                0.88259,                0.92395,                0.40827,                  1.868,                0.99111,                  1.358,              0.0013143,              0.0013143,              0.0013143
                      3,                  1.507,                 0.8544,                 1.0653,                0.93976,                0.91903,                0.96704,                0.45333,                 1.8666,                0.92993,                  1.329,              0.0019546,              0.0019546,              0.0019546
                      4,                 1.4535,                0.76959,                 1.0493,                0.89791,                0.91498,                0.93201,                0.44247,                 1.7394,                 1.1165,                 1.2981,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3921,                0.72793,                 1.0372,                0.81974,                0.85628,                0.92029,                0.45649,                 1.8164,                 1.0315,                 1.3112,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3674,                0.70604,                 1.0233,                 0.9038,                0.92308,                0.94192,                  0.449,                 1.7784,                0.85997,                 1.3217,               0.001901,               0.001901,               0.001901
                      7,                 1.3471,                0.67897,                 1.0151,                0.90828,                0.90081,                0.95154,                0.43875,                 1.8552,                0.79795,                 1.3554,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3082,                0.66035,                 1.0001,                0.89088,                0.94201,                0.95313,                0.46701,                 1.8134,                0.80892,                 1.2932,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2768,                0.64287,                0.99863,                0.91943,                0.95344,                0.95833,                0.48842,                 1.7343,                0.78204,                 1.2878,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.251,                0.63512,                0.98514,                0.93254,                0.89541,                0.92644,                 0.4004,                 1.9189,                0.81115,                  1.384,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2392,                0.61937,                0.98444,                0.94474,                0.92105,                0.96349,                0.48775,                 1.7279,                0.75156,                 1.2551,               0.001802,               0.001802,               0.001802
                     12,                 1.1958,                0.59611,                0.96953,                0.91434,                0.92909,                0.96115,                0.49108,                 1.7629,                0.71728,                 1.2951,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1737,                0.58563,                 0.9631,                0.94254,                0.92915,                0.97218,                0.49396,                 1.6861,                 0.6903,                 1.2694,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1725,                0.58601,                0.96263,                0.96298,                0.94793,                0.97542,                0.50812,                 1.7247,                0.68609,                 1.2571,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1577,                0.57963,                 0.9608,                0.95782,                0.94534,                0.97667,                0.51338,                 1.6958,                0.67476,                 1.2489,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1195,                0.56205,                0.95134,                0.93344,                 0.9413,                0.97061,                0.48566,                 1.7757,                0.68285,                 1.2963,               0.001703,               0.001703,               0.001703
                     17,                 1.0942,                 0.5519,                0.94271,                0.95149,                0.95297,                 0.9798,                0.52355,                 1.6868,                0.64336,                 1.2304,              0.0016832,              0.0016832,              0.0016832
